days,index_marketcap,coinscap,market_capture
2020-09-14,0.0,4663331789.204,0.0
2020-09-15,0.0,4722203744.575,0.0
2020-09-16,0.0,4290529399.522,0.0
2020-09-17,0.0,4306898862.016,0.0
2020-09-18,0.0,4246315647.599,0.0
2020-09-19,0.0,4172776836.72,0.0
2020-09-20,0.0,4115976298.556,0.0
2020-09-21,0.0,3877914332.537,0.0
2020-09-22,0.0,3450187991.766,0.0
2020-09-23,0.0,3654844136.655,0.0
2020-09-24,0.0,3238978861.415,0.0
2020-09-25,0.0,3661540625.133,0.0
2020-09-26,0.0,3884061876.003,0.0
2020-09-27,0.0,4150268826.178,0.0
2020-09-28,0.0,4053151098.734,0.0
2020-09-29,0.0,3884690287.973,0.0
2020-09-30,0.0,3827316364.731,0.0
2020-10-01,0.0,3800077098.63,0.0
2020-10-02,0.0,4481051081.712,0.0
2020-10-03,1899134.484,4249568441.254,0.045
2020-10-04,1947401.057,4288639569.449,0.045
2020-10-05,2071422.07,4272239353.782,0.048
2020-10-06,2086003.767,4107314570.988,0.051
2020-10-07,2230265.116,3572293146.523,0.062
2020-10-08,5321051.021,3681970899.576,0.145
2020-10-09,8427879.409,3827975650.697,0.22
2020-10-10,12685497.201,4097369505.642,0.31
2020-10-11,13223186.889,4084981720.535,0.324
2020-10-12,12937018.74,4190592770.443,0.309
2020-10-13,13012523.159,4227883440.29,0.308
2020-10-14,13182453.285,4125556394.032,0.32
2020-10-15,13620035.531,4035494367.053,0.338
2020-10-16,13785228.171,3845341810.146,0.358
2020-10-17,13649235.213,3304563657.409,0.413
2020-10-18,13732769.199,3354376069.394,0.409
2020-10-19,13779949.782,3754694767.439,0.367
2020-10-20,14000303.671,3641314241.634,0.384
2020-10-21,13333532.44,3415189971.936,0.39
2020-10-22,13946759.378,3524473608.255,0.396
2020-10-23,14806315.209,3718014015.154,0.398
2020-10-24,14626821.15,3773865345.586,0.388
2020-10-25,14830107.521,3735907313.493,0.397
2020-10-26,15067774.321,3650349187.883,0.413
2020-10-27,14982115.517,3537372410.407,0.424
2020-10-28,15340796.14,3593719729.152,0.427
2020-10-29,15139505.258,3418465906.246,0.443
2020-10-30,14417709.715,3173550557.49,0.454
2020-10-31,14450284.711,3131102951.823,0.462
2020-11-01,13955075.93,3075110512.565,0.454
2020-11-02,14496849.467,3119858874.89,0.465
2020-11-03,14161143.656,2979864242.051,0.475
2020-11-04,13902867.554,2879922222.113,0.483
2020-11-05,14221272.066,2800044412.897,0.508
2020-11-06,14591293.176,3002428279.261,0.486
2020-11-07,16052216.145,3408173121.527,0.471
2020-11-08,16473492.353,3531639803.547,0.466
2020-11-09,18483721.129,3927514434.572,0.471
2020-11-10,18177663.546,3827973052.165,0.475
2020-11-11,20123639.977,4434856382.641,0.454
2020-11-12,19661177.97,4050904776.772,0.485
2020-11-13,20002937.116,3923292228.381,0.51
2020-11-14,22528849.069,4497302895.179,0.501
2020-11-15,22372782.492,4519323075.241,0.495
2020-11-16,22634401.187,4450388490.771,0.509
2020-11-17,23781062.807,4592685571.791,0.518
2020-11-18,27601107.771,5025204079.419,0.549
2020-11-19,28379371.525,4862845391.679,0.584
2020-11-20,29848199.307,4951635349.961,0.603
2020-11-21,31871190.119,5023697359.117,0.634
2020-11-22,32895680.496,5055332894.281,0.651
2020-11-23,33970853.921,4991776706.48,0.681
2020-11-24,35980587.528,5245061797.307,0.686
2020-11-25,36124986.089,5193614244.27,0.696
2020-11-26,33640131.503,4850257786.334,0.694
2020-11-27,30637483.547,4558251354.413,0.672
2020-11-28,29831666.892,4469928086.961,0.667
2020-11-29,30686930.894,4611606106.144,0.665
2020-11-30,31705179.315,4793624055.613,0.661
2020-12-01,34051313.806,5084896286.452,0.67
2020-12-02,29337706.269,4899432992.634,0.599
2020-12-03,30795434.989,5382526197.232,0.572
2020-12-04,31159433.484,5488002593.463,0.568
2020-12-05,28769367.908,5015214249.35,0.574
2020-12-06,29540171.141,5403996377.513,0.547
2020-12-07,28700457.377,5302998655.125,0.541
2020-12-08,28170990.072,5385201908.386,0.523
2020-12-09,21581618.905,4976501052.289,0.434
2020-12-10,21852676.629,5115682690.556,0.427
2020-12-11,20789291.742,4809820701.418,0.432
2020-12-12,19911272.335,4626863411.278,0.43
2020-12-13,21006595.332,4811520329.684,0.437
2020-12-14,21807807.008,5010340629.014,0.435
2020-12-15,21881567.507,5169299427.222,0.423
2020-12-16,22414874.219,5133644998.36,0.437
2020-12-17,22715264.267,5277111707.041,0.43
2020-12-18,23330648.533,5354443063.319,0.436
2020-12-19,23453139.848,5550643554.138,0.423
2020-12-20,23689199.808,5543930285.514,0.427
2020-12-21,23042649.156,5324956108.608,0.433
2020-12-22,22167296.711,5148009955.021,0.431
2020-12-23,23089868.677,5432271244.275,0.425
2020-12-24,21322854.036,4953184243.341,0.43
2020-12-25,21820434.406,5197187673.802,0.42
2020-12-26,22353863.2,5200559215.105,0.43
2020-12-27,22351742.32,5145629718.58,0.434
2020-12-28,23633595.867,5329032209.694,0.443
2020-12-29,24533063.87,5533605035.306,0.443
2020-12-30,24374977.69,5423192858.877,0.449
2020-12-31,24609229.742,5522840090.9,0.446
2021-01-01,24733974.34,5779370376.206,0.428
2021-01-02,24778093.941,5847416183.948,0.424
2021-01-03,25031406.863,5757489128.765,0.435
2021-01-04,29933291.382,6599408177.964,0.454
2021-01-05,30563972.232,6907994413.466,0.442
2021-01-06,35354833.361,7898274779.476,0.448
2021-01-07,37290295.441,8123983887.088,0.459
2021-01-08,37304954.9,8181338287.455,0.456
2021-01-09,37049739.534,8105014747.188,0.457
2021-01-10,42413801.219,9241061799.713,0.459
2021-01-11,43559944.004,9311802667.571,0.468
2021-01-12,38961240.688,8213499476.204,0.474
2021-01-13,40806510.874,8802860802.654,0.464
2021-01-14,46062602.426,9896174592.073,0.465
2021-01-15,47272930.546,9843430678.208,0.48
2021-01-16,47885971.094,10208476609.862,0.469
2021-01-17,53017108.216,10897034158.056,0.487
2021-01-18,55755625.075,11217193621.933,0.497
2021-01-19,57601469.684,11453447445.733,0.503
2021-01-20,57575781.613,11285384121.452,0.51
2021-01-21,60313872.025,11457613960.154,0.526
2021-01-22,49818943.641,9505468401.185,0.524
2021-01-23,55942957.676,10793931003.707,0.518
2021-01-24,58698832.963,11233542240.887,0.523
2021-01-25,69169436.328,14140159196.16,0.489
2021-01-26,64091949.259,13128022912.555,0.488
2021-01-27,70806892.625,14492138807.385,0.489
2021-01-28,68022038.456,14324163389.451,0.475
2021-01-29,74931651.647,14995532519.433,0.5
2021-01-30,77163508.313,15411072692.551,0.501
2021-01-31,86723829.756,17406335658.691,0.498
2021-02-01,84658529.671,16738639354.999,0.506
2021-02-02,87601256.84,17663207920.355,0.496
2021-02-03,90094406.613,17708773164.663,0.509
2021-02-04,98814842.51,19173940135.904,0.515
2021-02-05,108866049.595,21309011496.145,0.511
2021-02-06,123550690.061,24095936234.683,0.513
2021-02-07,115110622.186,22146065436.169,0.52
2021-02-08,111537462.613,21695109060.654,0.514
2021-02-09,115192731.433,22370435913.741,0.515
2021-02-10,118794032.091,23552534504.444,0.504
2021-02-11,125100935.451,24416464030.7,0.512
2021-02-12,129024869.103,25284376815.273,0.51
2021-02-13,137944876.674,26586771106.944,0.519
2021-02-14,129830812.583,25580219276.101,0.508
2021-02-15,126676312.171,24247147638.757,0.522
2021-02-16,124155364.119,23239104356.509,0.534
2021-02-17,123416753.949,23349215463.496,0.529
2021-02-18,125827442.677,24170739512.45,0.521
2021-02-19,127719445.092,24057012800.866,0.531
2021-02-20,124941258.149,23753565694.263,0.526
2021-02-21,134407319.27,26185919662.464,0.513
2021-02-22,136328550.389,26497484016.888,0.514
2021-02-23,125864308.306,24663583507.854,0.51
2021-02-24,110963979.477,21631946524.596,0.513
2021-02-25,115780971.834,22573414660.811,0.513
2021-02-26,105794631.689,20991355265.552,0.504
2021-02-27,102306775.39,20772454693.032,0.493
2021-02-28,106571237.449,21288788885.151,0.501
2021-03-01,104571501.994,21038135737.587,0.497
2021-03-02,116181024.862,25906506165.99,0.448
2021-03-03,119467848.103,26153519141.833,0.457
2021-03-04,122914547.32,26414893502.54,0.465
2021-03-05,122980016.763,26544767692.787,0.463
2021-03-06,123369435.82,26097991324.454,0.473
2021-03-07,126825749.446,32908935943.984,0.385
2021-03-08,135438115.128,36878709897.855,0.367
2021-03-09,140429632.314,36679031233.572,0.383
2021-03-10,141337579.508,37052831620.306,0.381
2021-03-11,136661030.212,35137788278.439,0.389
2021-03-12,139038748.879,34998150247.966,0.397
2021-03-13,130861955.422,34106416374.621,0.384
2021-03-14,143422504.709,36508082905.404,0.393
2021-03-15,137459948.217,34630584433.676,0.397
2021-03-16,133299818.934,33322164764.158,0.4
2021-03-17,131404901.261,33405888546.015,0.393
2021-03-18,133331558.756,34910816671.854,0.382
2021-03-19,130181015.117,33834604906.728,0.385
2021-03-20,135018920.997,35900299025.073,0.376
2021-03-21,132985582.473,35091459464.831,0.379
2021-03-22,133350607.365,35088771011.023,0.38
2021-03-23,128143991.406,34068108991.982,0.376
2021-03-24,119978652.355,32350438765.267,0.371
2021-03-25,110931638.789,29443945205.274,0.377
2021-03-26,111719361.521,29031837676.822,0.385
2021-03-27,119650695.658,31651008152.05,0.378
2021-03-28,118834435.391,31220346639.175,0.381
2021-03-29,119536403.507,30653405993.507,0.39
2021-03-30,128452552.077,32293033248.88,0.398
2021-03-31,130932575.162,32130740775.981,0.407
2021-04-01,131440216.2,32032668626.973,0.41
2021-04-02,135935612.003,33348777495.601,0.408
2021-04-03,145953704.477,35693760753.826,0.409
2021-04-04,145024097.168,33978611203.454,0.427
2021-04-05,150428349.65,35855482837.493,0.42
