asset_address,symbol,in_index_time,out_index_time,id,name
\xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,enj,2021-04-06,2021-04-06,enjincoin,Enjin Coin
\xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,tvk,2021-04-06,2021-04-06,terra-virtua-kolect,Terra Virtua Kolect
\x557b933a7c2c45672b610f8954a3deb39a51a8ca,revv,2021-04-06,2021-04-06,revv,REVV
\x7a2bc711e19ba6aff6ce8246c546e8c4b4944dfd,waxe,2021-04-06,2021-04-06,waxe,WAXE
\xee06a81a695750e71a662b51066f2c74cf4478a0,dg,2021-04-06,2021-04-06,decentral-games,Decentral Games
\x0f5d2fb29fb7d3cfee444a200298f468908cc942,mana,2021-04-06,2021-04-06,decentraland,Decentraland
\xa1d6df714f91debf4e0802a542e13067f31b8262,rfox,2021-04-06,2021-04-06,redfox-labs-2,RedFOX Labs
\x3845badade8e6dff049820680d1f14bd3903a5d0,sand,2021-04-06,2021-04-06,the-sandbox,The Sandbox
\xbb0e17ef65f82ab018d8edd776e8dd940327b28b,axs,2021-04-06,2021-04-06,axie-infinity,Axie Infinity
\xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,muse,2021-04-06,2021-04-06,muse-2,Muse
\xfca59cd816ab1ead66534d82bc21e7515ce441cf,rari,2021-04-06,2021-04-06,rarible,Rarible
\xd5525d397898e5502075ea5e830d8914f6f0affe,meme,2021-04-06,2021-04-06,degenerator,Meme
\x18aaa7115705e8be94bffebde57af9bfc265b998,audio,2021-04-06,2021-04-06,audius,Audius
\x9355372396e3f6daf13359b7b607a3374cc638e0,whale,2021-04-06,2021-04-06,whale,WHALE
\x87d73e916d7057945c9bcd8cdd94e42a6f47f776,nftx,2021-04-06,2021-04-06,nftx,NFTX
