days,index_marketcap,coinscap,market_capture
2021-04-07,950429.641,6387943620.449,0.015
2021-04-08,950429.641,6560785245.224,0.014
2021-04-09,2473029.838,7256805298.023,0.034
2021-04-10,3183184.51,7468487098.602,0.043
2021-04-11,3293718.749,7184360789.11,0.046
2021-04-12,3494909.832,7080334586.267,0.049
2021-04-13,3844059.731,7163561686.612,0.054
2021-04-14,4003922.158,7184879510.893,0.056
2021-04-15,4036086.916,6898504557.95,0.059
2021-04-16,4927871.053,7432691857.431,0.066
2021-04-17,4672392.925,7168873882.68,0.065
2021-04-18,4825101.148,7413325915.768,0.065
2021-04-19,4476894.032,6744051267.643,0.066
2021-04-20,4427088.151,6394696551.216,0.069
2021-04-21,4902310.367,6579490607.58,0.075
2021-04-22,4927465.709,6439606017.817,0.077
2021-04-23,4534397.543,5933087643.841,0.076
2021-04-24,4393505.144,5739521799.985,0.077
2021-04-25,4237269.688,5374842769.261,0.079
2021-04-26,4336280.023,5312254280.743,0.082
2021-04-27,4894959.272,6272499720.297,0.078
2021-04-28,5307099.825,6590222347.565,0.081
2021-04-29,5648456.483,7227031532.346,0.078
2021-04-30,5643486.014,6946558974.771,0.081
2021-05-01,5666100.681,7181091194.092,0.079
2021-05-02,5853386.595,7183225029.713,0.081
2021-05-03,5891256.556,6975314788.192,0.084
2021-05-04,6459296.63,7057213649.013,0.092
2021-05-05,6098529.744,6388676865.453,0.095
2021-05-06,6454318.659,6912965381.723,0.093
2021-05-07,6356807.835,6856956783.815,0.093
2021-05-08,6365859.895,6752625275.328,0.094
2021-05-09,6696239.336,6735772346.613,0.099
2021-05-10,6538084.338,6720656430.997,0.097
2021-05-11,6631439.528,6121375863.187,0.108
2021-05-12,6506503.832,6470453587.145,0.101
2021-05-13,6238528.472,5785092347.792,0.108
2021-05-14,5732639.659,5590569000.502,0.103
2021-05-15,6256399.181,5922879801.207,0.106
2021-05-16,5772035.801,5392126288.966,0.107
2021-05-17,5427213.168,5316370903.04,0.102
2021-05-18,5090357.395,5013496785.288,0.102
2021-05-19,5319395.457,5164754069.671,0.103
2021-05-20,3835308.993,3532971588.226,0.109
2021-05-21,4166240.11,4170220008.081,0.1
2021-05-22,3331432.258,3652574136.502,0.091
2021-05-23,3542085.003,3539355593.618,0.1
2021-05-24,2857976.758,2785052881.696,0.103
2021-05-25,3645521.694,3505183129.427,0.104
2021-05-26,3723734.028,3498268783.814,0.106
2021-05-27,4403815.388,4608278410.753,0.096
2021-05-28,4106332.697,4218956777.806,0.097
2021-05-29,3607803.856,3686340560.599,0.098
2021-05-30,3361108.118,3519593465.779,0.095
2021-05-31,3969736.21,3743594961.625,0.106
2021-06-01,3993025.122,4029250056.392,0.099
2021-06-02,3894227.785,3926851554.411,0.099
2021-06-03,3988517.646,4040203768.741,0.099
2021-06-04,4220734.756,4177893534.897,0.101
2021-06-05,3952880.366,3840968777.123,0.103
2021-06-06,3821518.356,3739478735.743,0.102
2021-06-07,3884189.08,3813370304.52,0.102
2021-06-08,3637558.917,3498122982.605,0.104
2021-06-09,3483316.547,3409772120.163,0.102
2021-06-10,3604292.605,3530567421.145,0.102
2021-06-11,3458532.73,3358841659.661,0.103
2021-06-12,3444416.992,3323583651.891,0.104
2021-06-13,3315159.781,3207944470.852,0.103
2021-06-14,3464205.625,3325565792.705,0.104
2021-06-15,3701206.445,3524247037.06,0.105
2021-06-16,3777884.159,3559010518.124,0.106
2021-06-17,3561989.178,3423863406.032,0.104
2021-06-18,3560817.332,3422839967.822,0.104
2021-06-19,3369642.515,3220776052.641,0.105
2021-06-20,3346854.506,3134844801.788,0.107
2021-06-21,3418796.464,3127291771.962,0.109
2021-06-22,2783669.997,2446680054.022,0.114
2021-06-23,2581030.523,2237837787.275,0.115
2021-06-24,2793374.71,2561962646.975,0.109
2021-06-25,2941580.234,2649639252.211,0.111
2021-06-26,2667290.666,2413328824.729,0.111
2021-06-27,2674875.103,2370184823.727,0.113
2021-06-28,2730926.491,2512759254.472,0.109
2021-06-29,3130660.505,2610078306.713,0.12
2021-06-30,3369054.368,2810973894.994,0.12
2021-07-01,3582672.079,3004328708.616,0.119
2021-07-02,3493909.556,2942400060.015,0.119
2021-07-03,3520171.307,2938896542.477,0.12
2021-07-04,3724155.813,3136092680.925,0.119
2021-07-05,4158909.197,3290735834.427,0.126
2021-07-06,3915168.609,3115475218.961,0.126
2021-07-07,4339465.987,3469342951.816,0.125
2021-07-08,5446927.709,4084270844.475,0.133
2021-07-09,4786289.698,3651910124.554,0.131
2021-07-10,5491084.485,4117483789.407,0.133
2021-07-11,5821471.612,4292935193.755,0.136
2021-07-12,6270047.507,4455137963.081,0.141
2021-07-13,5870353.993,4155864519.207,0.141
2021-07-14,6088611.463,4267556720.962,0.143
2021-07-15,6625042.297,4777631044.917,0.139
2021-07-16,6573162.856,4587065829.208,0.143
2021-07-17,5991858.14,4149886356.707,0.144
2021-07-18,5809633.586,3989626546.099,0.146
2021-07-19,5754274.29,4083421982.034,0.141
2021-07-20,5377918.076,3726777417.298,0.144
2021-07-21,4930389.269,3383708341.43,0.146
2021-07-22,6050406.831,4061678233.091,0.149
2021-07-23,6470718.008,4278541268.258,0.151
2021-07-24,8243688.889,5644575058.61,0.146
2021-07-25,8889383.656,5820557429.227,0.153
2021-07-26,9026992.273,6043458763.285,0.149
2021-07-27,8612338.011,5652162997.423,0.152
2021-07-28,9227165.393,6117005653.283,0.151
2021-07-29,9291095.003,6049646696.541,0.154
2021-07-30,9390593.891,6064494070.384,0.155
2021-07-31,9448197.248,6053171270.832,0.156
2021-08-01,10022858.988,6115372891.97,0.164
2021-08-02,9684469.88,5648775774.906,0.171
